Name,Ingredients,Garnish,Preparation
almond crusta,"1 oz h by hine, .5 oz junipero gin, .75 oz lemonjuice, .5 oz orgeat, 1 dash angostura bitters","superfine white sugar, lemon zest",chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. place lemon strip neatly along side of sugared coupe. combine all liquid ingredients into shaker; add ice and shake. double strain into glass.
mexico mule,"1 oz montelobos mezcal, .67 oz king's ginger liqueur, .5 oz fresh lime juice, 3 oz apple cider, .5 oz monin french raspberry syrup","cinnamon quill, small flowers, lime wheel","chill cup and place a napkin around it. in the base of the cup put everything except the cider and the raspberry syrup and give a brief stir. add some crushed ice. stir vigorously. top with crushed ice. add cider. pour raspberry syrup on top. garnish with cinnamon quill as a stirrer, some small flowers, and a lime wheel."
hidarite,"1.5 oz nikka coffey grain whiskey, .75 oz luxardo bitter, .75 oz tempus fugit alessio vermouth di torino rosso, 2 dash chocolate bitters",,chilled. serve up or on the rocks.
bird is the word,".75 oz pink pigeon rum, .75 oz luxardo maraschino liqueur, .75 oz green chartreuse, .5 oz lime juice, .5 oz pineapple juice",luxardo cherry,cold shake-strain into coupe and garnish with a luxardo maraschino cherry.
jammie dodger fizz,"2 oz h by hine, .5 oz tempus fugit creme de noyaux, .5 oz orgeat, .375 oz lemon, .375 oz lime, 1 oz heavy whipping cream, 1  egg white",orange wheel,"combine all ingredients and shake thoroughly without ice for several minutes. add ice, shake, and strain into a tall collins glass. top with soda and garnish with an orange wheel."
rudolph's rose,"1.5 oz christmas spirit, .25 oz luxardo maraschino liqueur, .5 oz chateau de montifaud pineau des charentes rose, .75 oz tempus fugit gran classico bitter",luxardo cherry,combine all ingredients and stir with ice in a mixing glass. strain into coupe glass and garnish with a luxardo cherry.
heard it through the grapevine,"1.5 oz h by hine, .75 oz graham's 20 year tawny port, .5 oz tempus fugit kina l'aero d'or, .33 oz velvet falernum, .25 oz benedictine",orange zest,combine all ingredients and stir. pour the mixture into a chilled nick & nora glass and garnish with the orange zest.
snow bunny,"1.5 oz christmas spirit, .5 oz king's ginger liqueur, .5 oz lemon juice, .5 oz honey syrup, .5 oz egg white, 2 oz ale, 3 drops dale degroff's pimento aromatic bitters","nutmeg, shaved","combine all ingredients besides beer and bitters and dry shake without ice. add ice and re-shake, double strain into a fizz glass and top with beer. garnish with shaved nutmeg and 3 drops of bitters."
a love song,"1 oz no.3 london dry gin, 1 oz maurin quina, .5 oz luxardo bitter, .5 oz king's ginger liqueur",blood orange slice,combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). pour into a small martini glass. rub a thin slice of blood orange around the rim and place in drink.
drops of jupiter,"1.5 oz junipero gin, .5 oz genevieve gin, .25 oz rich wild sage honey syrup, 1 dash angostura bitters, 1 dash whiskey barrel aged bitters, .75 oz spring water",duke's lemon,combine all ingredients except duke's lemon garnish in mixing glass and stir. pour into a rocks glass and garnish. ice does not touch this drink.
mother superior,"1.5 oz blanc vermouth, .75 oz lemon juice, .5 oz junipero gin, .5 oz giffard pamplemousse, .5 oz house-made yellow shaw-treuse*, .5 oz tonic, 2 dash celery bitters, 2 dash coriander tincture",fresh grapefruit peel,"combine all ingredients except for tonic. shake with ice. strain into a chilled coupe. top with the tonic and garnish with a fresh grapefruit peel.

*substitute with yellow chartreuse liqueur"
round pond aperitif,"1.5 oz luxardo aperitivo, .5 oz round pond blood orange syrup, .5 oz fresh lemon juice, 1 splash sparkling wine",lemon peel,"combine all ingredients except soda in a shaker with ice, shake to combine. pour into a coupe glass and garnish with a lemon peel."
across the pond,"1 oz junipero gin, 1 oz king's ginger liqueur, .5 oz round pond meyer lemon syrup, .75 oz fresh lemon juice, 1 splash soda water",luxardo cherry,"combine all ingredients except soda in a shaker with ice, shake to combine. pour over ice in a rocks glass and top with soda. garnish with a luxardo cherry.
"
fizzy rhubarb mule,"2 oz rhubarb infused gin*, .5 oz king's ginger liqueur, .75 oz lemon, .75 oz simple syrup , 1  egg white,   soda",rhubarb stalk,"combine all ingredients except soda in a tin and dry shake. add ice and shake vigorously. add soda into a collins glass and slowly strain the drink over it until it forms a head. garnish with one rhubarb stalk.

*rhubarb infused gin:
750 ml of gin with 3 chopped stalks of fresh rhubarb for 48 hours"
charente royale,"1.5 oz h by hine, .5 oz elderflower liqueur, 2 dash absinthe,  top sparkling wine",orange twist,combine all ingredients except sparkling wine in a shaker. add ice and shake until chilled through. double strain into a champagne flute and garnish with an orange twist.
peachy keane,"1.5 oz old forester bourbon, .5 oz king's ginger liqueur, .5 oz giffard crème de pêche de vigne, .5 oz honey syrup (local honey cut 2:1 with water), .75 oz lemon juice, 1  egg white, 1 dash angostura bitters","dried peach, candied ginger",combine all ingredients except the bitters and dry shake. add ice and shake again. strain over fresh ice into a double old fashioned glass. dash bitters over the top of the cocktail. garnish with a dried peach and a piece of candied ginger.
hopped-up mary,"2 oz hophead vodka, 6 oz tomato juice, 1.5 tsp demitri's bloody mary seasoning, .5 oz fresh lemon juice","cocktail shrimp, lemon zest, celery stalk","combine all ingredients in a chilled mixing glass, rimmed with sea salt and stir. add ice. stir again to mix. garnish with a cocktail shrimp, lemon zest, fresh ground pepper and a celery stalk."
the palace cellar,"1.5 oz king's ginger liqueur, .5 oz pink pigeon rum, .5 oz fresh-pressed lemon juice, .5 oz snake oil's house-made sarsaparilla syrup, .75 oz carbonated water, 1 dash snake oil's house-made pomegranate bitters","ginger, lemon wheel",combine all ingredients in a collins glass and stir. garnish with a slice of ginger and lemon wheel.
swedish royal,"2 oz karlsson's gold vodka, 1 oz apricot brandy, .5 oz dry vermouth, .5 oz sweet vermouth",,combine all ingredients in a frozen mixing glass with hard ice and stir for 20 seconds. strain into a frozen coupe glass.
gold spritz,"1 oz cocchi americano, 1 oz karlsson's gold vodka, 2 oz club soda",orange twist,combine all ingredients in a glass filled with ice and garnish with an orange twist.
la madrugada,"1.5 oz barsol perfecto amor (aperitif wine), .5 oz lemon juice, .5 oz luxardo amaro abano, .25 oz luxardo maraschino liqueur",,combine all ingredients in a mixing glass and add ice. shake well and double strain and serve into a coupe.
the rickenbacker,"2 oz hophead vodka, 1 oz tempus fugit alessio vermouth bianco, 2 dash luxardo maraschino liqueur,   salt","sage leaf, cocktail onions",combine all ingredients in a mixing glass and stir until proper dilution. strain into a chilled cocktail glass. garnish with a sage leaf speared through two cocktail onions.
the douglas tilden,"2 oz junipero gin, .5 oz lacuesta blanco vermouth, .25 oz salers gentiane aperitif, 1 bsp luxardo maraschino liqueur, 1 bsp germain-robin absinthe, 2 dash scrappy’s lime bitters","lemon twist, edible flower ","combine all ingredients in a mixing glass with ice, stir and strain into a chilled cocktail glass. garnish with a lemon twist and the edible flower of your choice."
willow,"1 oz old potrero straight rye whiskey, 1.5 oz barsol perfecto amor (aperitif wine), 1 bsp luxardo amaro abano, 1 dash angostura bitters",luxardo cherry,"combine all ingredients in a mixing glass, add ice and stir. strain into a chilled coupe glass and garnish with a luxardo maraschino cherry."
sahara glowing heart,"1.5 oz junipero gin, .75 oz apricot eau-de-vie, .25 oz grenadine, 2 dash lemon bitters, 2 dash absinthe",lemon twist,"combine all ingredients in a mixing glass, add ice and then stir. strain into a nick & nora glass and garnish with a lemon twist."
nori & islay,"1.5 oz junipero gin, 1.5 oz nori-infused sake*, 1 dash celery bitters, 3 dash islay scotch",picked cucumber ribbon,"combine all ingredients in a mixing glass, stir, and strain into a chilled nick & nora glass. garnish with a picked cucumber ribbon.

*nori-infused sake:
-- ginjo sake
-- nori seaweed sheet

using an oji style cold brew coffee maker, drip ginjo sake through a 0.5 gram of nori seaweed sheet that has been hand-shredded. it takes 3 hours to infuse a 750 ml bottle."
you bet your ascot,"1.5 oz h by hine, .75 oz bonal, .5 oz luxardo amaro abano, .25 oz nocino",orange peel,combine all ingredients in a mixing glass. stir until 2 oz water is diluted. strain into a sherry or nosing glass. flame and discard an orange peel. drink deeply.
speyside orchard,"1 oz glenrothes bourbon reserve, 1.5 oz c. drouin pommeau de normandie, .5 oz chamomile tea syrup*, .75 oz lemon juice",apple slices,"combine all ingredients in a mixing tin. shake and strain into a collins glass full of crushed ice. garnish with apple slices.

*chamomile tea syrup:
-- 2 c water
-- 1 c chamomile flower
-- 1 c sugar
bring 1 cup water to boil.
add 1 cup chamomile flower and 1 more cup of water, bring back to a boil.
add 1 cup sugar, bring to boil.
let it rest. when cool, the syrup is ready."
chippendale rosetone,"1.5 part gin, .25 part luxardo apricot liqueur, .75 part casoni 1814, .5 part dry vermouth, 1 part unfiltered apple juice, 1 part fresh lemon juice, .5 part rich simple syrup (2:1), 2 part jasmine green tea","lemon wheels, apple slices","combine all ingredients in a punch bowl, add a large chunk or block of ice, garnish with lemon wheels and apple slices. serve when punch is chilled."
la hops vie,"2 oz hophead vodka, .75 oz fresh lemon juice, .75 oz fresh grapefruit juice, .5 oz simple syrup,   gin barrel aged orange bitters,   fresh basil leaves",fresh basil leaves,"combine all ingredients in a shaker and shake until proper dilution. double strain into a chilled martini or coupe glass and garnish with 2 fresh basil leaves that have been lightly ""spanked"" to release aromatics."
cap't of the seven seas,"2 oz ypioca brasilizar cachaca ouro reserva especial, 1 oz jalapeno-orange simple syrup, 1 oz coconut milk, 4 dash orange flower water, 9 drops mole bitters",,combine all ingredients in a shaker tin and shake vigorously. double strain using a fine mesh strainer. serve in a lager glass over ice.
boko buku,"1.5 oz mezcal, .75 oz don ciccio & figli concerto, .125 oz vanilla marinade, 8 dash mole bitters",,combine all ingredients in a shaker tin and shake vigorously. double strain with a fine mesh strainer into a highball glass.
chapman cobbler,"1 oz applejack, 1 oz amontillado sherry, .75 oz orgeat, .75 oz fresh lemon juice, 1 bsp tempus fugit creme de noyaux",lemon wheel,combine all ingredients in a shaker tin filled with crushed ice. flash-shake and dump into a double old fashioned glass. garnish.
baile de verano,"2 oz barsol perfecto amor (aperitif wine), .5 oz penny blue mauritian rum, 6 dash celery shrub, 3 dash house-made tarragon tincture",,"combine all ingredients in a shaker tin, add ice, and shake vigorously. double strain with a fine mesh strainer into a highball glass."
peter pumpkin,"1.5 oz junipero gin, .5 oz orange liquor, 1.5 oz house-made spiced pumpkin puree, .5 oz lemon juice, .5 oz ginger syrup, 1  egg white,  top apple cider","shaved cinnamon, nutmeg","combine all ingredients in a shaker, except the apple cider. shake vigorously. strain over ice. top with apple cider. garnish with shaved cinnamon and nutmeg."
a botanical garden,"1.5 oz hophead vodka, .75 oz zirbenz stone pine, .75 oz fresh strawberry juice w/ xanthan gum*, .75 oz lemon juice, .5 oz simple syrup",mint sprig,"combine all ingredients in a shaking tin and give it a short shake, five seconds. strain into an old fashined glass with three medium sized ice cubes."
the bossa nova,"2 oz chinaco blanco tequila, .5 oz lemon juice, .5 oz small hand foods pineapple gum syrup, .25 oz vanilla syrup*, .5 oz coconut cream**, .5 oz egg white",cinnamon (grated),"combine all ingredients in a shaking tin or mixing glass and vigorously shake without ice for 10 seconds. add ice, and shake for another 8 seconds. strain over larger ice cube or into a cocktail glass and add freshly grated cinnamon on top.

*vanilla syrup:
split 1 vanilla pod lengthwise and scrape interior into a heavy sauce pan.
add 2 c. raw sugar and 2 c. water. bring to a simmer and reduce heat to low.
cook for 5 mins and stir occasionally.
remove from heat and keep unstrained for 24 hrs.
strain through a cheese cloth and bottle. keeps for 2 weeks.

**coconut cream:
combine 1 part coco lopez with 1 part rich coconut milk. mix well."
the monte rua,"4 oz ca' secco sparkling, 1 bsp luxardo cherry syrup",luxardo cherry,combine all ingredients in a sparkling wine glass.
